"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"rno03250","Viral life cycle - HIV-1",61,0.464576029963543,1.71387538109831,0.00153810795914144,0.0040977074636669,0.00139232568885273,3034,"tags=41%, list=16%, signal=34%","751812/362325/290640/311580/85252/84509/29456/25281/315137/501083/499223/56084/306809/679886/311796/362110/361825/294258/313323/296954/306347/361080/301119/378947/298696",0.45505986738723
"rno04722","Neurotrophin signaling pathway",118,0.408454471912542,1.71093868085094,0.000199240474486622,0.000692980553946336,0.000235462056696322,4106,"tags=44%, list=22%, signal=35%","81736/79255/114203/24887/309165/316241/25513/24525/170820/289014/24605/85384/84351/24596/293621/24842/25400/54245/170851/303604/85385/314870/171337/116554/114509/171140/25272/24185/360678/25385/363875/311860/117273/29414/64465/24246/300177/25622/50663/689314/314612/58838/24242/81771/310738/116667/366508/116590/117089/84027/81751/297173",0.518848077743792
"rno04917","Prolactin signaling pathway",74,0.433905088025809,1.69811146967009,0.00227560521797587,0.00588286089684131,0.00199888801805526,2452,"tags=28%, list=13%, signal=25%","89829/25125/81736/24508/309165/24514/25513/24525/24605/85384/293621/170851/85385/83805/116554/25272/24185/171556/25351/64033/29414",0.431707695803346
"rno04370","VEGF signaling pathway",57,0.458982402068789,1.69805959497108,0.00193935182799998,0.00508897584941348,0.00172914046888768,3924,"tags=42%, list=21%, signal=33%","29748/25513/24525/289014/24605/360820/315994/293621/170851/83805/24185/363875/366957/24471/24600/29414/64465/24681/24674/170897/689314/314612/366508/116590",0.45505986738723
"rno04980","Cobalamin transport and metabolism",16,-0.627957873425495,-1.69681844348956,0.00870459734620727,0.019694484885938,0.00669182402075992,3093,"tags=56%, list=17%, signal=47%","290947/64365/362134/81522/313520/246046/361809/688517/362851",0.380730400722792
"rno04932","Non-alcoholic fatty liver disease",147,-0.390531781323354,-1.68046733386562,0.000257542193727052,0.000872642967094573,0.000296508042864333,3085,"tags=41%, list=17%, signal=35%","299643/25086/681024/293448/303393/64547/58852/171335/81728/289036/299310/366448/499529/360631/54322/100912357/293453/64539/100911483/25282/24651/295923/362344/24954/293991/294964/157074/300047/25467/297990/293655/315167/78975/362440/289217/301427/94194/291660/362588/373545/293130/288088/298596/25747/301011/171078/301458/681418/689938/293652/25488/690848/688869/365057/296658/361385/29741/363061/301123/362837/311567",0.49849310876659
"rno00730","Thiamine metabolism",14,-0.644879949440827,-1.6776971550741,0.010851648299743,0.0233270989442093,0.00792611951790423,1890,"tags=43%, list=10%, signal=39%","680668/84594/29223/25586/305889/24183",0.380730400722792
"rno05332","Graft-versus-host disease",51,0.471686854180754,1.6765699708043,0.00363971883360405,0.00913857462537994,0.00310511970979696,4787,"tags=55%, list=26%, signal=41%","365527/499400/414789/24988/24835/246097/414793/414779/414819/414783/368153/25385/414791/25408/414784/24751/24498/361787/24973/309607/25712/24750/414792/50669/24494/29683/24747/680842",0.431707695803346
"rno00430","Taurine and hypotaurine metabolism",19,-0.573918054831149,-1.67118895588565,0.0175796784312334,0.033710482266486,0.0114542023459238,1982,"tags=37%, list=11%, signal=33%","25256/246245/60356/81718/84493/116568/246247",0.352487857583619
"rno00500","Starch and sucrose metabolism",28,-0.529572300069116,-1.66675763164588,0.0145968134028254,0.0294467507374917,0.0100054647308482,3397,"tags=46%, list=18%, signal=38%","289687/54410/25634/288333/24701/367562/24382/85496/292804/24645/362029/303565/690987",0.380730400722792
"rno04660","T cell receptor signaling pathway",119,0.395091400177745,1.66484214358498,0.000539567750479387,0.00163747082536788,0.000556382493167626,4150,"tags=39%, list=22%, signal=31%","81736/117104/29431/309165/29748/25150/316241/25513/24835/246255/24525/24605/85384/155918/84351/293621/116596/170851/83477/116554/366962/24699/25272/24185/313121/360640/25156/296078/117273/29414/29432/84492/64465/94201/24674/25622/689314/363193/366508/117256/116590/24497/84027/24673/25712/297173/313050",0.477270815362862
"rno04115","p53 signaling pathway",71,0.434178168106983,1.66437049144256,0.00468021602091791,0.0113430235506969,0.00385415094145447,3603,"tags=48%, list=19%, signal=39%","686781/24617/24887/314856/64044/246097/25402/114483/313017/24842/299626/114851/362791/140583/25729/24888/445442/78963/50557/362817/64394/304923/362485/315427/64033/25112/362720/94201/301013/54237/140941/293625/25203/64625",0.407017918923954
"rno03082","ATP-dependent chromatin remodeling",106,0.401135810650762,1.66389441923095,0.000911179050786745,0.0025645281348756,0.000871379529562028,5436,"tags=54%, list=29%, signal=38%","314126/317413/296084/362258/65137/500987/287876/300891/680172/498753/100360754/363002/24828/313048/293514/361374/83712/307766/310661/680615/103690190/361825/502125/502129/499675/64520/84576/171379/29384/303518/311713/361925/292907/81822/192218/58940/64646/292404/297893/301020/300222/24919/85423/360804/361724/290669/304569/308067/361295/287452/298447/362834/288563/298098/317575/360853/362594",0.477270815362862
"rno00920","Sulfur metabolism",10,-0.692231690842126,-1.66373598364188,0.0229480791935686,0.0423750245426214,0.0143982545751716,3281,"tags=80%, list=18%, signal=66%","292710/192172/25274/295443/81805/64473/294103/103689947",0.352487857583619
"rno04622","RIG-I-like receptor signaling pathway",60,0.443739400429038,1.6609843272797,0.00244012124248847,0.00626178171785643,0.00212763834926324,4193,"tags=42%, list=23%, signal=32%","317335/81736/306886/309165/245920/64044/24835/266764/494338/84351/116554/25272/313121/299827/311786/81635/298696/298693/499801/689314/362788/116667/312937/266610/287824",0.431707695803346
"rno05418","Fluid shear stress and atherosclerosis",142,0.387579527097027,1.66092396017148,0.000365640319355223,0.00117071992160526,0.000397789113975452,3527,"tags=39%, list=19%, signal=32%","25625/25663/81736/301252/113894/309165/25361/29302/25464/25513/24771/307618/24835/24323/364018/83619/25697/25544/299331/287876/84351/24842/83805/24628/116554/114509/499417/287398/24451/25272/24185/313121/81687/363875/366957/114593/25692/24314/24600/83580/117273/29414/310635/64352/25404/25216/362862/24426/65248/81822/116484/57298/50663/689314/24242/287562",0.49849310876659
"rno04530","Tight junction",164,0.373764963601621,1.63886813332215,0.000155428403700701,0.000575858035085051,0.000195665977254434,3044,"tags=37%, list=16%, signal=31%","288515/25537/117104/304407/65132/50662/266759/65130/81634/24511/83807/293057/501203/361517/310655/304447/246255/300218/288669/25737/60324/287876/25745/65129/302495/84006/360854/362298/83805/297518/115769/65157/54319/500929/116554/54227/81756/64158/25272/81732/316531/363875/81824/301511/81521/266688/303141/117273/310635/116479/288077/60465/64465/94201/54254/65248/304125/81822/296710/304109",0.518848077743792
"rno04066","HIF-1 signaling pathway",110,0.39555653283749,1.63756099986559,0.000746741449480476,0.00213665615049148,0.000725996492661365,3117,"tags=35%, list=17%, signal=30%","25125/81736/24617/297604/54251/24383/309165/64525/116510/25513/24323/116636/24334/303448/117045/24499/360697/25400/114851/29304/29260/363275/170851/24329/24451/171140/361258/24185/25060/25059/29560/24600/29414/24189/24246/24681/24498/81807/117276",0.477270815362862
"rno00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",28,-0.514507703965205,-1.61934384032677,0.0237795076891177,0.0432242092890733,0.0146867919457746,4556,"tags=50%, list=25%, signal=38%","300046/100910143/303277/681086/363464/366478/313341/362756/288238/361344/192263/309051/291132/303872",0.352487857583619
"rno04621","NOD-like receptor signaling pathway",159,0.370871698700246,1.61584442363987,0.000356740705995032,0.00115280098511357,0.000391700588668191,4614,"tags=38%, list=25%, signal=29%","81736/301252/78971/156117/114555/306886/290408/309165/246240/81503/300732/64044/24835/84598/315435/500133/29465/171164/685067/363328/299331/84351/301059/29260/25166/25679/24888/116554/294560/25272/313121/315084/117273/246268/303090/299827/311786/305896/24498/300177/116484/29322/613224/689314/298784/287562/316010/29197/362788/191568/114105/116590/287464/266610/297173/359726/171551/24494/207122/287362/294770",0.49849310876659
"rno05223","Non-small cell lung cancer",71,0.420534465636434,1.61206897687076,0.00762199431778778,0.0173861177575682,0.00590748329350448,2824,"tags=35%, list=15%, signal=30%","25125/24887/313861/24553/25513/24525/24605/363140/85384/114483/293621/24842/299626/114851/170851/24329/291105/116502/24827/24185/399489/25112/29414/94201/24681",0.407017918923954
"rno05330","Allograft rejection",52,0.438695360284823,1.60487599951087,0.00900123496171404,0.0198835951911515,0.00675608022701918,4787,"tags=50%, list=26%, signal=37%","365527/499400/414789/24988/24835/246097/414793/414779/414819/414783/368153/25385/414791/25408/414784/24751/361787/24973/309607/24497/25712/24750/414792/50669/24747/680842",0.380730400722792
"rno04360","Axon guidance",174,0.359450612218156,1.6046609074668,0.00074691131908298,0.00213665615049148,0.000725996492661365,4754,"tags=39%, list=26%, signal=29%","25537/29431/140585/94268/296789/366492/362993/29748/312275/25150/24511/501203/24553/289392/25513/360891/315996/366624/24525/24605/304580/293621/25400/296787/83805/29271/293042/171140/84609/25643/310630/301346/65172/363875/308739/311860/366957/296078/117273/29432/25186/64465/24246/314903/24674/287989/252833/361568/25622/60629/361597/295382/89821/366508/170922/116590/84027/25416/297173/58946/81918/50685/360840/303901/362279/362398/81664/316369",0.477270815362862
"rno05215","Prostate cancer",104,0.396922732609573,1.60336781864967,0.00128519864389881,0.00347701028465646,0.00118142419454223,2792,"tags=35%, list=15%, signal=30%","25267/81736/301252/79255/309165/314856/25513/24525/24605/299331/85384/84351/293621/24842/114851/25729/170851/24329/362165/24628/291105/24827/50557/362817/500131/298400/362485/24185/81687/24629/399489/25692/29414/25705/362862/24426",0.45505986738723
"rno04512","ECM-receptor interaction",76,0.414391706339648,1.60226391512678,0.00389945671867367,0.00972078853440793,0.00330294529620952,4528,"tags=49%, list=24%, signal=37%","311061/315346/294337/29302/24511/24771/117036/290905/192362/140433/25406/116727/360606/309816/24718/361821/445442/25353/691992/307582/25724/305078/25216/29393/311144/170921/29643/25713/25661/298941/25592/116669/25460/292406/84352/681309/25304",0.431707695803346
"rno05165","Human papillomavirus infection",325,0.336042563665856,1.60038603192195,2.17700538716759e-05,9.61740354584165e-05,3.26781697709477e-05,4285,"tags=38%, list=23%, signal=30%","25625/81736/365527/311061/117104/689844/499400/24508/24887/309165/315346/294337/29302/414789/314856/24511/24988/25513/117036/64044/24835/246255/84598/24525/246097/116636/414793/414779/24605/25496/290905/414819/363328/192362/140433/85384/360820/84351/25402/689030/114483/360606/304545/293621/24842/406162/309816/84006/114851/24718/361821/117263/25729/170851/24329/362165/445442/25353/116502/50557/313166/362817/114850/500131/414783/368153/298400/362485/24185/114494/25385/24629/399489/414791/64033/414784/24751/84576/307582/29414/113927/25724/305078/299827/29393/311144/64465/94201/364754/301965/305896/680111/291678/303181/361787/298693/25630/170921/363595/24973/297893/54287/25713/25661/298941/54265/363193/362788/252921/362268/366508/117256/309607/116669/116590/84027/266610/24673/362938/301112/24750/680991/414792/79257/313575",0.575610261071129
"rno01040","Biosynthesis of unsaturated fatty acids",30,-0.504002901433753,-1.6001744968655,0.0116283070249731,0.0240134861048262,0.00815934126071999,3405,"tags=40%, list=18%, signal=33%","50559/25541/83512/24157/171402/314304/79244/50681/83522/498728/679532/191576",0.380730400722792
"rno04940","Type I diabetes mellitus",59,0.43335699540863,1.59721042109838,0.00593438035377184,0.0139939104288268,0.00475487358488106,4787,"tags=47%, list=26%, signal=35%","365527/499400/414789/24988/24835/246097/414793/414779/414819/414783/368153/25385/414791/25408/414784/24751/116660/361787/24973/309607/63868/25712/24750/414792/50669/24494/24747/680842",0.407017918923954
"rno04514","Cell adhesion molecule (CAM) interaction",164,0.363522083928584,1.59395560613438,0.000372246567475451,0.00118103683680848,0.000401294612158161,3097,"tags=27%, list=17%, signal=23%","25066/365527/304407/65132/499400/65130/25021/25361/414789/24511/24988/25464/24771/307618/414793/414779/414819/25544/65129/83502/690899/89843/308417/29259/295322/315716/414783/368153/24699/308995/414791/25651/25408/414784/24751/309684/116479/307199/25216/311144/116595/304125/499342/361787",0.49849310876659
"rno00980","Metabolism of xenobiotics by cytochrome P450",61,-0.423787053361277,-1.58955559469601,0.011402141901771,0.0236865924030838,0.00804826878849114,3142,"tags=39%, list=17%, signal=33%","307092/24296/25086/24421/691002/289197/24422/26760/24172/300850/171445/29646/291283/494500/25116/114846/25260/81869/501110/29487/499422/310903/297029/309465",0.380730400722792
"rno03440","Homologous recombination",37,0.466519316353616,1.58427621083685,0.0185187638175172,0.0353172053131886,0.0120001373089809,3071,"tags=46%, list=17%, signal=38%","296883/287634/85482/499870/289758/291787/293452/102551085/59294/308755/360588/497672/64557/298429/59102/313063/293144",0.352487857583619
"rno00350","Tyrosine metabolism",34,-0.476207350293678,-1.58367856103132,0.0199633737102566,0.0374581581982772,0.0127275937530934,2394,"tags=29%, list=13%, signal=26%","29531/24172/81683/29646/24401/316421/29383/302980/360719/310903",0.352487857583619
"rno05230","Central carbon metabolism in cancer",66,0.423288377895211,1.58126286274922,0.00698649531728312,0.0162552457715454,0.00552323377571814,2452,"tags=33%, list=13%, signal=29%","24577/25267/292657/50719/24553/25513/24525/24605/293621/24842/170851/24329/50557/24185/299638/25060/25059/24629/502894/29560/25351/29414",0.407017918923954
"rno04977","Vitamin digestion and absorption",27,-0.486574143856335,-1.57564323874287,0.0342481035971498,0.0583053080751477,0.019811072154198,4280,"tags=56%, list=23%, signal=43%","25081/312226/314459/85309/64365/289175/29723/313520/316559/311536/50621/80848/170551/246046/306262",0.321775918075361
"rno00330","Arginine and proline metabolism",51,-0.432018418645931,-1.57073256839551,0.0174142697720968,0.0335777908865293,0.0114091162536048,4094,"tags=51%, list=22%, signal=40%","65183/291450/29539/24598/298079/81660/24609/81640/360547/300035/29593/314214/293949/680409/361538/297081/114027/24401/64040/307212/25257/64313/298607/291394/29215/289668",0.352487857583619
"rno04382","Cornified envelope formation",176,0.354074674145504,1.56330120929247,0.000386801348505059,0.00121615919484924,0.000413228543944857,4460,"tags=34%, list=24%, signal=26%","83626/117104/304407/65132/81778/65130/64204/25626/246255/407761/287925/60335/290905/192362/140433/94195/65129/294853/300242/287702/307562/407757/445415/300247/302934/293619/287424/315323/361991/291752/315318/85247/301012/307582/25724/287701/305078/304822/304125/303530/287678/316122/311839/306871/366697/315851/407759/301482/363193/102550416/360626/117256/287700/24673/292994/298487/366991/114093/407758",0.49849310876659
"rno03430","Mismatch repair",22,0.527037776875674,1.56178908262358,0.0312577921830436,0.054273479959613,0.0184411310571158,3437,"tags=64%, list=19%, signal=52%","296883/25737/289758/305000/59294/288414/59102/81513/304528/81709/116468/499505/293144/288003",0.321775918075361
"rno05321","Inflammatory bowel disease",60,0.413549053029339,1.54797724740907,0.00930727695041231,0.0204291802244899,0.00694145999463462,4101,"tags=38%, list=22%, signal=30%","25125/81736/81809/25631/309165/25717/24835/360697/29260/29357/155140/59086/25084/310553/24498/362896/367264/301365/140924/29197/116553/24497/25712",0.380730400722792
"rno03015","mRNA surveillance pathway",86,0.384067896182342,1.54289188935896,0.00900174223553564,0.0198835951911515,0.00675608022701918,5515,"tags=52%, list=30%, signal=37%","117104/298385/307503/690585/246255/684558/294754/290284/292295/171350/295284/287113/24668/298510/361605/296219/317385/299256/362836/501582/362178/292683/298648/291877/302591/304277/363193/114612/313131/117256/24673/681012/298681/366952/690303/691397/308653/302405/691318/361176/311670/259170/360855/368070/287522",0.380730400722792
"rno03420","Nucleotide excision repair",55,0.420456140739185,1.53990270929643,0.0123633840635583,0.0252328715683149,0.00857366603145645,5417,"tags=56%, list=29%, signal=40%","498109/292673/117017/296883/25737/361580/192147/298012/289758/299112/304573/59294/288414/59102/81513/304528/116468/293144/84389/288003/64470/300084/294693/361365/266713/288651/89809/362385/298098/291703/83503",0.380730400722792
"rno00670","One carbon pool by folate",35,-0.464256079277547,-1.53648335674843,0.0337577833828687,0.0577522862775547,0.0196231655107611,3983,"tags=66%, list=22%, signal=52%","291450/312192/309312/683630/306586/287379/29443/300886/81508/64392/89833/290551/245961/64300/25134/365972/81522/114123/171347/171133/24250/298942/24962",0.321775918075361
"rno05213","Endometrial cancer",58,0.41721375082572,1.53535914578162,0.0112397857090895,0.0236306338100736,0.0080292550869883,2452,"tags=33%, list=13%, signal=29%","24577/24887/25513/24525/24605/85384/83502/293621/24842/299626/114851/170851/24329/307505/116502/50557/24185/25112/29414",0.380730400722792
"rno04960","Aldosterone-regulated sodium reabsorption",39,-0.443992233476911,-1.52902569514821,0.0241566089933648,0.0436821582315249,0.014842394580275,3707,"tags=38%, list=20%, signal=31%","85243/25650/116501/24214/25122/24482/24211/24954/25467/81745/29639/24521/25117/29741/25672",0.352487857583619
"rno03266","Virion - Herpesvirus",8,0.685999482394791,1.52559736979444,0.0418577328444986,0.0695635655368096,0.023636421136422,1555,"tags=50%, list=8%, signal=46%","315346/29302/308417/100910669",0.321775918075361
"rno00450","Selenocompound metabolism",16,-0.562489429132186,-1.51991475544839,0.0312062742748922,0.054273479959613,0.0184411310571158,2668,"tags=69%, list=14%, signal=59%","363285/541589/81522/311844/295443/308993/50551/24962/294103/361661/291314",0.352487857583619
