"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"R-RNO-450302","activated TAK1 mediates p38 MAPK activation",14,0.515615800935096,1.38211066273395,0.109433962264151,0.182259424145834,0.0818588908955693,3957,"tags=57%, list=21%, signal=45%","289014/500133/100912032/315994/313121/192255/689314/50522",0.184706471207739
"R-RNO-163685","Integration of energy metabolism",57,-0.378991934078915,-1.37952444677598,0.0595238095238095,0.110253680970728,0.049518668698285,3291,"tags=30%, list=18%, signal=25%","25736/83535/24175/289036/25559/81678/25289/81662/78975/373545/24953/58979/171078/64532/116600/83579/25262",0.261663521711573
"R-RNO-1660514","Synthesis of PIPs at the Golgi membrane",14,-0.522052106696701,-1.37937223531952,0.11864406779661,0.193955613224123,0.0871120462269917,4151,"tags=50%, list=22%, signal=39%","361632/316457/65052/114554/363131/309855/116482",0.188204146308491
"R-RNO-983168","Antigen processing: Ubiquitination & Proteasome degradation",183,0.308943515013399,1.37832281894872,0.0117180744626677,0.0279326193586847,0.0125454870233787,4711,"tags=42%, list=25%, signal=31%","89829/29670/300968/313722/64525/296651/29673/289990/292766/94198/363284/29675/83806/287670/291597/313743/117262/289924/100912032/29274/303336/311078/94196/29614/29668/292588/117263/81827/297592/24968/287984/361258/24967/29677/25581/117524/365388/291983/685860/314432/287772/83499/367167/299602/192255/295704/361389/29666/161475/140941/81807/303478/298689/296368/29671/302938/64517/360643/362566/29676/29669/314613/300948/50522/288921/312647/289437/64515/361831/498005/308901/690516/304490/171136/689852/85492",0.380730400722792
"R-RNO-389513","CTLA4 inhibitory signaling",17,0.498635137482091,1.37707272859053,0.0841487279843444,0.145943225353558,0.0655480539190407,4150,"tags=53%, list=22%, signal=41%","25150/81515/83805/24185/29414/25622/363193/24673/313050",0.216542836735348
"R-RNO-3214841","PKMTs methylate histone lysines",20,0.480008698316575,1.37606812773087,0.0825335892514395,0.143577531867208,0.0644855407134873,3973,"tags=50%, list=21%, signal=39%","304794/362831/362093/364785/291159/289372/312299/310678/64627/290831",0.216542836735348
"R-RNO-428643","Organic anion transporters",9,-0.587497974451532,-1.37419269753305,0.122772277227723,0.198801870708398,0.0892886648820557,3942,"tags=56%, list=21%, signal=44%","266767/116638/500820/170943/64201",0.178219874951973
"R-RNO-549132","Organic cation/anion/zwitterion transport",11,-0.561429745645574,-1.3724827121112,0.109533468559838,0.182259424145834,0.0818588908955693,3262,"tags=73%, list=18%, signal=60%","83500/24904/29509/309131/89776/29726/365398/29503",0.191892240384838
"R-RNO-1650814","Collagen biosynthesis and modifying enzymes",29,0.433735815351715,1.36870120508735,0.0676982591876209,0.121952048624449,0.0547728025018459,4596,"tags=48%, list=25%, signal=36%","678743/290905/304021/298069/29345/83470/85490/29393/290637/366474/84032/84352/29569/288583",0.241339976815091
"R-RNO-418360","Platelet calcium homeostasis",24,-0.450381173026215,-1.36533130740242,0.0909090909090909,0.15530303030303,0.0697518598717555,2146,"tags=29%, list=12%, signal=26%","29600/81678/29599/25391/81739/29715/25262",0.211400189384923
