Gene,miRNA,rho,p.value,adj.p.value
BRCA1,rno-miR-103-3p,0.2797202797202798,0.37856866966230307,0.5047582262164041
BRCA1,rno-miR-107-3p,-0.49650349650349657,0.10060263183225483,0.22421858293778382
RAD51,rno-miR-103-3p,0.06293706293706294,0.8459309212287789,0.8459309212287789
RAD51,rno-miR-107-3p,-0.4825174825174825,0.11210929146889191,0.22421858293778382
