"logFC","AveExpr","t","P.Value","adj.P.Val","B","ProbeID","GeneSymbol"
912.8845,554.933444444444,22.8275481280695,1.84445742517124e-08,0.000538839792189526,-3.43396168890453,"10740869","Tnfrsf12a"
282.55341,248.099633333333,19.2410587211025,6.90840436078701e-08,0.000672740416653439,-3.44313429105716,"10750848","Nfkbiz"
298.40425,401.920111111111,18.4515261021799,9.53790551759196e-08,0.000695501814008593,-3.44587809849013,"10794829","Tubb2a"
494.22414,285.288533333333,17.9031695003906,1.20272758855498e-07,0.000695501814008593,-3.4479931207535,"10719616","Pvr"
551.559,1123.25333333333,17.1831796026378,1.64809837047449e-07,0.000695501814008593,-3.45107107977716,"10813007","Il6st"
142.81542,102.2151,16.0212388698492,2.81672250120962e-07,0.000695501814008593,-3.45690061331146,"10711575","Dmbt1"
1084.2403,744.466777777778,15.8084452048169,3.11960479695587e-07,0.000695501814008593,-3.45810313268225,"10821698","Osmr"
480.94553,283.060288888889,15.6891016447234,3.30539786691673e-07,0.000695501814008593,-3.45879804271028,"10896814","Myc"
161.31065,256.678222222222,15.5903976899441,3.46848353527163e-07,0.000695501814008593,-3.45938428324845,"10868017","Mdn1"
245.6683,248.333111111111,15.5296770604895,3.57329484944552e-07,0.000695501814008593,-3.4597502200203,"10893918","Sbno2"
723.84395,685.892222222222,15.4882726874755,3.64680420699469e-07,0.000695501814008593,-3.46000209603198,"10877907","Plin2"
320.9111,499.940555555556,14.8947635595896,4.91121517796092e-07,0.000695501814008593,-3.46383433694811,"10821959","Tars1"
370.28048,209.361122222222,14.8424987045741,5.04433677254094e-07,0.000695501814008593,-3.46419282062137,"10749372","Socs3"
148.16475,276.021,14.7059551408474,5.41166541927197e-07,0.000695501814008593,-3.4651464894793,"10920422","Ptpn23"
346.5371,461.319888888889,14.6396209419581,5.60089204909892e-07,0.000695501814008593,-3.4656189214442,"10821924","Rai14"
579.28595,640.992222222222,14.5952569163803,5.73159133786755e-07,0.000695501814008593,-3.46593828395237,"10858967","Tnfrsf1a"
120.5495,280.293555555556,14.5327457380724,5.92160736849879e-07,0.000695501814008593,-3.46639297869732,"10870845","Kti12"
400.49595,690.413,13.8801070377295,8.39108897518469e-07,0.000875490261860877,-3.47149069901394,"10900592","Midn"
156.27057,176.455766666667,13.383160705894,1.10558470349271e-06,0.000984430071220811,-3.47584992913871,"10736795","Slfn2"
112.510008,60.15949,13.3327070440738,1.13757947068233e-06,0.000984430071220811,-3.47631817491268,"10823057","Slc7a11"
188.75415,394.244333333333,13.1012029644447,1.29835189788826e-06,0.00103223223487229,-3.47853179308202,"10829780","Arid5b"
245.87235,382.777,12.4309179203353,1.92770326255853e-06,0.00124684883218733,-3.48560067637941,"10909446","Mcam"
58.43517,74.0702666666667,12.3688199950704,2.0015603412589e-06,0.00124684883218733,-3.48630993210421,"10719486","Relb"
114.45164,81.0797555555556,12.3652084495226,2.00595245816405e-06,0.00124684883218733,-3.48635148579457,"10880293","Map3k6"
