power,SFT.R.sq,slope,mean_connectivity
1,0.6974519686211242,2.167329136294528,2997.734756310337
2,0.5468997986553441,0.8005805016129108,2195.115326108323
3,0.3203766925850274,0.37647176381307085,1732.5881869108966
4,0.08095760420275043,0.13795711637576105,1423.834730661122
5,0.0008077883946413099,-0.01214191598369373,1200.7791511752448
6,0.07264365461902197,-0.10970721229413356,1031.4462288363159
7,0.19444130251875902,-0.18759452048240524,898.4135729991922
8,0.3039378240321051,-0.25463616914523574,791.2168234673281
9,0.40013424189322594,-0.3140087352070503,703.1247299078883
10,0.46828231922979746,-0.3650220185920658,629.5816360722704
11,0.5242196816134596,-0.41044684045491464,567.3810056999433
12,0.5657924076320789,-0.4489055109207262,514.1942898794962
13,0.6004088975600559,-0.490228794716507,468.28681555247084
14,0.6308389399842274,-0.5257821688984433,428.33851508111695
15,0.6470129849270195,-0.5578488761118388,393.32651483544635
16,0.6658368535423286,-0.5893403833566428,362.44580075419185
17,0.6744528489440091,-0.6173125243318446,335.05417132162347
18,0.7006597064382999,-0.6438822293910198,310.6331597192404
19,0.7161419971674059,-0.6682410193514611,288.75973459292766
20,0.7046680266810376,-0.7001804887066337,269.08544423645105
