"Validated_gene"
"Angptl4"
"Clu"
"Ccl20"
"Il24"
"Timp1"
"Bcat2"
"Mmp12"
"Adra1d"
"Gcgr"
"Slc6a12"
"Havcr1"
"Fgb"
"S100a9"
"Gpnmb"
"A2m"
"Hmox1"
"Reg3g"
"Slc2a4"
"Fgg"
