"","logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol"
"21780452",3.28077480550752,10.0931235228777,7.021565035008,6.73714062560788e-05,0.870775425859819,-4.48190053483957,"S100a8"
"21321451",2.61378986823955,9.68980335403726,5.29510427352476,0.000526604610737709,0.999824884168894,-4.49536560945379,NA
"21743996",-2.43102811533054,10.9408416555351,-4.97828570430556,0.000801998375956096,0.999824884168894,-4.4989232321027,"Cox8h"
"21108337",-2.3894141265972,10.1176211028328,-4.86526095813228,0.0009351129402139,0.999824884168894,-4.50030195644925,NA
"21470392",3.20066838476483,10.3898616245829,4.54410095863388,0.00146139719995407,0.999824884168894,-4.50456931853002,"S100a9"
"21782964",-2.61677532852784,10.4661979480696,-4.39644068398325,0.00180347784722721,0.999824884168894,-4.50671949210018,NA
"21480545",2.03990245877583,18.0117732489295,4.11091106260746,0.00273289833929008,0.999824884168894,-4.51124892156406,"S100a6"
"21694257",2.24041489969527,9.55135238468383,4.06981243075091,0.00290417251118476,0.999824884168894,-4.51194371272311,NA
"21640330",2.17943985983779,10.7549415892211,3.96282159348209,0.00340587301872919,0.999824884168894,-4.51380571561191,NA
"21336957",2.08911704035303,10.3918987224161,3.81995419950658,0.00422385706460105,0.999824884168894,-4.5164161978666,"Dpep1"
"21588987",-2.40490954960999,8.40585169610118,-3.80641231285301,0.00431153709844983,0.999824884168894,-4.51667121655657,NA
"21277436",2.09462627610195,11.0944712773368,3.6194862835945,0.00573940479695258,0.999824884168894,-4.52033032927546,NA
"21588576",2.3048131516752,17.5371094309005,3.55739006116246,0.00631778462544754,0.999824884168894,-4.52160467377618,NA
"21951283",2.06605221005728,8.50348971497039,3.53664283644558,0.00652443031098878,0.999824884168894,-4.52203714553699,NA
"21280933",3.75539916732919,10.1706279470984,3.46991217802784,0.00723856813945324,0.999824884168894,-4.5234511531669,"Ns5atp9"
"21254900",2.31887211040195,8.87604924678574,3.09481940127551,0.0130970187060249,0.999824884168894,-4.53207366513393,NA
"22127763",-3.09973420930335,11.227165155248,-3.06536577789178,0.0137292289969464,0.999824884168894,-4.53280040751496,NA
"21592544",2.07322042022446,9.57599368931774,3.01344553260374,0.0149215259075588,0.999824884168894,-4.53409935818246,NA
"22167592",2.19539933043923,10.5032474878196,2.9970489510357,0.0153198441072171,0.999824884168894,-4.53451431182475,NA
"21930498",-2.46425642110086,9.07005938336487,-2.98015868034857,0.0157416156410834,0.999824884168894,-4.53494413964583,NA
"22054034",2.10725550446287,12.9967042800901,2.96104651238939,0.0162333084860118,0.999824884168894,-4.53543342362074,NA
"21512130",2.08837281490292,10.049685285927,2.86439827789911,0.0189724969325821,0.999824884168894,-4.53795497404712,"Ifi35_predicted"
"21050795",2.05268983595927,10.3289538787847,2.85012915315672,0.0194153091483426,0.999824884168894,-4.53833392798761,NA
"21350220",2.39689685792385,10.8014449158561,2.83489860100753,0.0198996285995189,0.999824884168894,-4.53874030235925,NA
"21669299",2.14291130173313,10.6489578483363,2.77858900002046,0.0217999168954536,0.999824884168894,-4.54025958756913,NA
"21607402",2.47959610225791,11.1525742395497,2.76946947359165,0.0221246497995306,0.999824884168894,-4.5405081279978,"Glycam1"
"21014572",-2.05395822603536,11.7675228138524,-2.75145406095776,0.0227806999318882,0.999824884168894,-4.54100114173001,NA
"21466977",-2.62720178428929,9.74191168488419,-2.70128951123635,0.0247136459990584,0.999824884168894,-4.54238806867129,NA
"21489031",2.12688360913458,11.1387070070577,2.66330580160006,0.0262872871317343,0.999824884168894,-4.54345192529288,"Spin2c"
"22197579",2.76583831899607,11.9850830259952,2.63183079921782,0.0276678814911029,0.999824884168894,-4.54434233171242,"Hmgcs2"
"21725355",2.18704364931771,10.1929977760182,2.63166860233795,0.0276751825485861,0.999824884168894,-4.5443469407673,NA
"21237008",-2.2971675878123,11.6586865421202,-2.59012483465202,0.029610718797652,0.999824884168894,-4.54553436764865,NA
"21755193",-2.12781974365912,11.3584549822733,-2.58114588528329,0.0300466688626125,0.999824884168894,-4.54579280446312,"Ces1"
"20699471",2.24999437951817,10.331663293129,2.57546545372799,0.0303257989839478,0.999824884168894,-4.54595662875735,NA
"21599717",-2.11978896743598,10.8639344563031,-2.56314567521886,0.0309401777834489,0.999824884168894,-4.54631280047794,"Atp1a2"
"22359198",2.64587533292784,12.9593750898225,2.550808692245,0.0315679570261594,0.999824884168894,-4.54667065484855,"Timp1"
"21902091",2.44451735550826,11.1115396166359,2.41571462889853,0.0393363397876884,0.999824884168894,-4.55066483257228,NA
"21069850",2.09947764845074,12.2687123968549,2.40710822504105,0.0398914272485608,0.999824884168894,-4.55092384024976,NA
"21182034",2.03818611012598,8.83568649941028,2.38944790507722,0.0410549641872697,0.999824884168894,-4.55145696990364,NA
"21084219",2.07444623527915,10.5381722204218,2.38137156950625,0.0415982389385722,0.999824884168894,-4.55170150965748,NA
"20754701",2.19491437939213,10.179690273476,2.29905388569281,0.0475581399518428,0.999824884168894,-4.55421937915092,NA
"21756632",2.31421395303162,9.70736301619836,2.27588997678806,0.04938215907917,0.999824884168894,-4.55493595516305,NA
